epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.639,1.52672,2.02349,1.3826,0.92909,0.89423,0.95307,0.56777,1.39544,1.36277,1.07449,0.000664544,0.000664544,0.000664544
2,431.384,1.53033,1.27648,1.385,0.9531,0.97705,0.98601,0.53659,1.53761,1.02184,1.1171,0.00128728,0.00128728,0.00128728
3,652.039,1.50883,1.08492,1.38113,0.97103,0.96697,0.98803,0.54523,1.48441,0.866,1.13385,0.00186602,0.00186602,0.00186602
4,929.933,1.49179,1.0568,1.38154,0.97885,0.95192,0.98648,0.59771,1.40484,0.75111,1.06876,0.001802,0.001802,0.001802
5,1200.55,1.43369,1.00169,1.35048,0.99378,0.96154,0.99311,0.70114,1.13426,0.65194,1.00539,0.001736,0.001736,0.001736
6,1480.79,1.42505,0.96768,1.34487,1,0.98057,0.9949,0.65808,1.18427,0.64247,1.0109,0.00167,0.00167,0.00167
7,1748.09,1.37311,0.92141,1.31868,0.98802,0.97115,0.99407,0.62203,1.21042,0.73101,1.01348,0.001604,0.001604,0.001604
8,2005.33,1.37136,0.90265,1.32411,0.96651,0.99038,0.98855,0.74303,0.98893,0.59677,0.96017,0.001538,0.001538,0.001538
9,2266.06,1.31946,0.8594,1.29129,0.98109,0.998,0.99462,0.63537,1.17085,0.64283,1.00478,0.001472,0.001472,0.001472
10,2515.99,1.32154,0.86179,1.28492,0.99025,0.97651,0.99444,0.71023,1.06089,0.55621,0.95786,0.001406,0.001406,0.001406
11,2776.17,1.30815,0.83147,1.28764,0.99029,0.98029,0.99151,0.69355,1.08751,0.55418,0.9776,0.00134,0.00134,0.00134
12,3036.23,1.29185,0.81314,1.27971,0.98608,0.97115,0.9904,0.69611,1.12058,0.56601,0.97775,0.001274,0.001274,0.001274
13,3287.68,1.25995,0.7964,1.26252,0.99008,0.97115,0.99403,0.69811,1.10645,0.53995,0.9657,0.001208,0.001208,0.001208
14,3532.73,1.25426,0.79179,1.25644,0.98111,0.99883,0.99443,0.73586,1.05048,0.51022,0.94258,0.001142,0.001142,0.001142
15,3783.19,1.24242,0.79099,1.25927,0.99045,0.99755,0.99452,0.76532,0.84375,0.48277,0.92891,0.001076,0.001076,0.001076
16,4031.5,1.20337,0.74975,1.22989,0.9845,0.97115,0.99378,0.76839,0.87812,0.46718,0.9197,0.00101,0.00101,0.00101
17,4262.03,1.20999,0.75785,1.24681,0.96043,0.97115,0.98953,0.7524,0.94219,0.47729,0.93159,0.000944,0.000944,0.000944
18,4497.96,1.20279,0.74549,1.23903,0.99038,0.99001,0.99471,0.74604,1.00386,0.47809,0.94225,0.000878,0.000878,0.000878
19,4743.33,1.18156,0.73569,1.22456,0.98902,1,0.995,0.79716,0.81864,0.45386,0.90126,0.000812,0.000812,0.000812
20,5008.09,1.1768,0.72505,1.22105,0.98092,0.98886,0.99423,0.78488,0.8426,0.4314,0.90832,0.000746,0.000746,0.000746
21,5240.51,1.07149,0.60368,1.18419,0.99887,1,0.995,0.80291,0.82116,0.42337,0.91124,0.00068,0.00068,0.00068
22,5449.67,1.05191,0.59519,1.16817,0.99047,0.99889,0.9929,0.78863,0.80582,0.42394,0.90779,0.000614,0.000614,0.000614
23,5657.65,1.02013,0.5713,1.15362,0.98893,1,0.99386,0.7526,0.95721,0.42807,0.92633,0.000548,0.000548,0.000548
24,5865.72,1.01871,0.55874,1.14839,0.99037,0.98905,0.99096,0.78704,0.82898,0.4059,0.89961,0.000482,0.000482,0.000482
25,6072.64,0.98312,0.53005,1.13044,0.999,1,0.995,0.79629,0.79864,0.38683,0.89855,0.000416,0.000416,0.000416
26,6283.43,0.96017,0.52731,1.12096,0.98744,1,0.99424,0.79217,0.81322,0.36984,0.89607,0.00035,0.00035,0.00035
27,6488.55,0.93813,0.51395,1.11139,0.98943,0.99038,0.99173,0.79816,0.78754,0.39426,0.89963,0.000284,0.000284,0.000284
28,6700.78,0.91011,0.50969,1.10151,0.99924,1,0.995,0.80777,0.77423,0.36944,0.88937,0.000218,0.000218,0.000218
29,6934.32,0.90721,0.49601,1.0895,0.98945,0.98077,0.99258,0.79541,0.78883,0.36818,0.8916,0.000152,0.000152,0.000152
30,7167.2,0.88086,0.48659,1.08263,0.99038,0.98947,0.9926,0.79736,0.76564,0.35775,0.89248,8.6e-05,8.6e-05,8.6e-05
